label,text
REAL,"Ahead of crucial FATF meet, Pakistan continues to treat 21 dreaded terrorists as VIPs  ISLAMABAD: In a big revelation exposing the double standards of Pakistan, the country, despite the Financial Acti"
FAKE,Images of a bizarre looking creature which looks like a mix of a pig and a human have been going around on social media for quite some time now. The claim going around with these images is that a pig 
REAL,Read Also  The latest episode of Roadies Revolution continues from the previous Hadippa task. The tasks are divided Into 4 parts in which contestants from each team will have to win every task which i
REAL,"NEW DELHI: The Drugs Controller General of India has approved the commercial launch of 'Feluda', the Tata CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) Covid-19 test, the Council "
FAKE,"A set of photos from Malaysia showing mould on leather goods like shoes, bags and jackets is viral as India. The photos are being shared with claims drawing attention to the damaged products and advis"
REAL,"Heated debate on farm bills in Rajya Sabha; oppn members tear papers, heckle presiding officer The Rajya Sabha witnessed unprecedented scenes during the debate on agriculture bills as opposition membe"
REAL,SHOPIAN: Hideouts in higher reaches and seeking refuge in local houses are a thing of the past as terrorists in Kashmir valley now dig underground bunkers in dense orchards and even in seasonal stream
REAL,"NEW DELHI: Companies having not less than 300 workers will soon be allowed to hire and fire workers without seeking prior government permission, with the labour ministry proposing changes to rules in "
FAKE,(The video below contains distressing visuals. Viewer discretion is advised)  A dramatic video of a police sniper killing a man who took a pregnant woman hostage at gunpoint is going viral in India as
REAL,Read Also  The latest episode of Roadies Revolution continues from the previous Hadippa task. The tasks are divided Into 4 parts in which contestants from each team will have to win every task which i
REAL,"Heated debate on farm bills in Rajya Sabha; oppn members tear papers, heckle presiding officer The Rajya Sabha witnessed unprecedented scenes during the debate on agriculture bills as opposition membe"
REAL,"NEW DELHI: India's total external debt increased by 2.8 per cent to $558.5 billion at the end of March mainly on account of a rise in commercial borrowings, according to a report released by the finan"
FAKE,"Former Infosys director and private equity investor Mohandas Pai posted an image of Communist Party leader Sitaram Yechury from 1977, where he is seen reading out a memorandum by Jawaharlal Nehru Univ"
REAL,SACH is LIFE | ft. Sachin TENDULKAR & Aakash CHOPRA | SPECIAL Interview | Part 1  1 / 10 IPL 2020 Match 1: Mumbai Indians vs Chennai Super Kings Previous Next Show Captions <p>Mumbai Indians and Chenn
REAL,"Ahead of crucial FATF meet, Pakistan continues to treat 21 dreaded terrorists as VIPs  ISLAMABAD: In a big revelation exposing the double standards of Pakistan, the country, despite the Financial Acti"
REAL,THIRUVANANTHAPURAM: The arrest of three suspected al-Qaida operatives on Saturday is the second such instance of the NIA nabbing those with alleged terror links from among migrant labourers in the sta
REAL,SACH is LIFE | ft. Sachin TENDULKAR & Aakash CHOPRA | SPECIAL Interview | Part 1  1 / 10 IPL 2020 Match 1: Mumbai Indians vs Chennai Super Kings Previous Next Show Captions <p>Mumbai Indians and Chenn
REAL,"Lakshmi Menon, who will complete nearly a decade in films, has named Ajith starrer ' Vedalam ' as her most favorite movie ever. Expressing gratitude, Lakshmi had shared on Twitter, ""Working With #Thal"
FAKE,"A scene from the 2007 sci-fi mini-series Pandemic has gone viral in the backdrop of the deadly Coronavirus outbreak, with false claims that 'bodies packed in body bags are being dumped in mass graves "
REAL,Highest IPL score in Dubai  Milestones to watch out for:  Preview  Leaving things to chance is not what #CaptainPunjab does... he creates chances! 💪🏻#SaddaPunjab #Dream11IPL… https://t.co/2hJH7DXcWb —
REAL,"Assam employment numbers highest in NE  GUWAHATI: Employment exchanges have failed to create jobs in most northeastern states, Centre’s data presented in the Lok Sabha on Saturday revealed. In a writt"
REAL,"NEW DELHI: Companies having not less than 300 workers will soon be allowed to hire and fire workers without seeking prior government permission, with the labour ministry proposing changes to rules in "
REAL,Visakhapatnam: Local MLA and urban district TDP president Vasupalli Ganesh Kumar on Saturday met chief minister and YSRC president YS Jaganmohan Reddy along with his two sons. While his sons joined th
REAL,"Read Also  Be it winning hearts or winning the trophy, it’s not that easy when you are in Bigg Boss house. Trophy winners Sidharth Shukla and Gauahar Khan along with Sher Khan aka Hina Khan feature in"
FAKE,Here's a round-up of the News You Almost Believed.  A video showing rioters vandalize cars on a road in Switzerland following a club-level football match is being shared with the false context of Musl
FAKE,"An old video of a protest against Hindi news channel Aaj Tak for its reportage on self-styled godman Rampal, who was convicted of murder in 2018, has been revived on social media with a misleading cla"
FAKE,Factcheckers are staring at a busy 2018 as the scale and complexity of misinformation is set to increase. We bring you a list of 10 trends we expect to see in India and in the rest of the world in 201
FAKE,"A photograph claiming to show the 'real face' of Jawaharlal Nehru is photoshopped, ironically. The fake photo accompanied by Hindi text was featured in websites such as indiatimes (2014) and APHerald "
REAL,"NEW DELHI: Seven of the top 10 most valued domestic companies saw a combined erosion of Rs 59,259.58 crore in their market valuation last week , with Hindustan Unilever , HDFC Bank and Kotak Mahindra "
REAL,Highest IPL score in Dubai  Milestones to watch out for:  Preview  Leaving things to chance is not what #CaptainPunjab does... he creates chances! 💪🏻#SaddaPunjab #Dream11IPL… https://t.co/2hJH7DXcWb —
FAKE,"A photograph of the brother-in-law of Utpal Behra, the prime accused in the Murshidabad triple murder case, is being shared online with a false claim that it shows Behra pictured with Rashtriya Swayam"
REAL,"LUCKNOW: There was no let up in Covid-19 transmission rate in the city in the past 24 hours, with the daily case count crossing the 1,000-mark for the fifth time this month, and remaining perilously h"
FAKE,A message falsely claiming that a girl was raped and killed at suspended Aam Aadmi Party councillor Tahir Hussain's house in North East Delhi recently and her identity has been established has gone vi
REAL,"NEW DELHI: India's total external debt increased by 2.8 per cent to $558.5 billion at the end of March mainly on account of a rise in commercial borrowings, according to a report released by the finan"
FAKE,"Fictitious politician Anil Upadhyaya is back, this time as a Bharatiya Janata Party (BJP) leader speaking against the recently passed Citizenship Amendment Act (CAA).  A video of a politician from Mah"
FAKE,(Image Courtesy: Rashtrapati Bhavan)  India's newly elected president's much awaited social media debut on Tuesday sparked a contest of 'followers' after some news outlets including Republic TV incorr
REAL,"NEW DELHI: The finance ministry on Saturday informed the Lok Sabha that no decision has been taken to discontinue the printing of Rs 2,000 denomination currency notes.In a written reply, minister of s"
FAKE,"A public relations stunt by SonyLIV an online streaming service, for its upcoming show Undekhi where it cold called people with a recorded message about witnessing a murder created panic and has led t"
REAL,"No significant mutation of Coronavirus in India, says Harsh Vardhan No significant or drastic mutation in strains of SARS-CoV-2 has been found in India till now, Union minister Harsh Vardhan said on S"
FAKE,A 2017 video from Gujarat showing Prime Minister Narendra Modi greeted by enthusiastic crowds gathered to see him is being shared with a false claim that it is from Tamil Nadu.  The edited video is be
REAL,"Manali: A long-pending demand of Himachal residents as well as tourists to start a luxury bus service between Delhi and Keylong in Himachal Pradesh’s Lahaul valley is set to be fulfilled soon, as larg"
REAL,"ROME: Novak Djokovic knows it isn't model behavior when he loses his cool on the tennis court.Yet he just can't help himself.Exactly two weeks after he was defaulted from the US Open , and a day after"
REAL,Highest IPL score in Dubai  Milestones to watch out for:  Preview  Leaving things to chance is not what #CaptainPunjab does... he creates chances! 💪🏻#SaddaPunjab #Dream11IPL… https://t.co/2hJH7DXcWb —
REAL,A little Rashid magic on @rashidkhan_19's birthday 🎩✨#OrangeArmy #KeepRising #IPL2020 #Dream11IPL https://t.co/TM0P2CAfUQ — SunRisers Hyderabad (@SunRisers) 1600593628000  🚨 ATTENTION #OrangeArmy 🚨Our
FAKE,"The Bharatiya Janata Party's (BJP) West Bengal unit has written to the state's Chief Electoral Officer on the basis of a debunked image, falsely claiming that Trinamool Congress Party ( TMC) MP Mahua "
FAKE,News reports about the Reserve Bank of India prepping to release new 200-rupee notes has given an opportunity to WhatsApp hoaxsters and fake news specialists to dust off old pictures and recycle them 
REAL,"NEW DELHI: Companies having not less than 300 workers will soon be allowed to hire and fire workers without seeking prior government permission, with the labour ministry proposing changes to rules in "
REAL,"Delhi: A high-level meeting underway at residence of Rajya Sabha Chairman, Venkaiah Naidu, over the ruckus created… https://t.co/OfoRpOwd4b — ANI (@ANI) 1600599438000  A watershed moment in the histor"
REAL,WASHINGTON: A US judge early Sunday blocked the Commerce Department from requiring Apple Inc and Alphabet Inc's Google to remove Chinese-owned messaging app WeChat for downloads by late Sunday.US Magi
REAL,A little Rashid magic on @rashidkhan_19's birthday 🎩✨#OrangeArmy #KeepRising #IPL2020 #Dream11IPL https://t.co/TM0P2CAfUQ — SunRisers Hyderabad (@SunRisers) 1600593628000  🚨 ATTENTION #OrangeArmy 🚨Our
FAKE,An image of one of the prime accused in the lynching of Bangladeshi engineering student Abrar Fahad is viral online with false claims that he has been identified as the suspect behind the triple murde
REAL,"Read Also  Read Also  Advocate Ishkaran Bhandari recently linked Sushant Singh Rajput and Disha Salian ’s case. According to him, Siddharth Pithani has reportedly stated that Sushant fainted and feare"
REAL,"Udhagamandalam: Covid-19 tally crossed the 2,800-mark in the Nilgiris on Saturday, when it logged 87 new cases, even as 78 patients were recovered and discharged from health facilities.A 70-year-old w"
REAL,Dubai (UAE): Ahead of the opening clash against Royal Challengers Bangalore Sunrisers Hyderabad (SRH) skipper David Warner said that 'moving from one bio-bubble to another is quite a challenge'. The o
REAL,Highest IPL score in Dubai  Milestones to watch out for:  Preview  Leaving things to chance is not what #CaptainPunjab does... he creates chances! 💪🏻#SaddaPunjab #Dream11IPL… https://t.co/2hJH7DXcWb —
FAKE,"A viral video on Facebook claiming Rahul Gandhi was insulted by a little boy who chanted 'Modi Modi' while Gandhi was trying to talk to him, is fake. The original video has been doctored by tampering "
REAL,"Guneet Monga comes out in support of Anurag Kashyap, says “Don’t need Twitter to explain what he means to many of us”"
REAL,"In 1995, Srividya Gopinath’s mother-in-law succumbed to breast cancer. To date, a memory that hangs heavy on the family is the trauma she underwent following the mastectomy.In August last year, the Ch"
REAL,A little Rashid magic on @rashidkhan_19's birthday 🎩✨#OrangeArmy #KeepRising #IPL2020 #Dream11IPL https://t.co/TM0P2CAfUQ — SunRisers Hyderabad (@SunRisers) 1600593628000  🚨 ATTENTION #OrangeArmy 🚨Our
REAL,"Read Also  Read Also  Advocate Ishkaran Bhandari recently linked Sushant Singh Rajput and Disha Salian ’s case. According to him, Siddharth Pithani has reportedly stated that Sushant fainted and feare"
REAL,"Delhi: A high-level meeting underway at residence of Rajya Sabha Chairman, Venkaiah Naidu, over the ruckus created… https://t.co/OfoRpOwd4b — ANI (@ANI) 1600599438000  A watershed moment in the histor"
FAKE,"An image of Kashmiri protestors holding Pakistan flags and demanding 'Azaadi' has been photoshopped to falsely claim that they are Pakistani cricket fans holding banners of 'We don't want Kashmir, giv"
FAKE,"A video of a hostage rescuing mock drill in Senegal has resurfaced with claims that it shows passengers, infected with the novel Coronavirus, disembarking a flight from Italy at the Dakar airport of S"
FAKE,"An unofficial Facebook fan page dedicated to former Prime Minister Manmohan Singh shared a photoshopped picture of Prime Minister Narendra Modi wearing a Bohra cap, on Saturday.  The page, Dr Manmohan"
REAL,"Read Also  Read Also  Despite being an outsider, Taapsee Pannu has made her way up the success ladder in Bollywood with her brilliant performances in films like, ‘Pink’, ‘Manmarziyaan’, ‘Thappad’ and "
REAL,"ROME: Novak Djokovic knows it isn't model behavior when he loses his cool on the tennis court.Yet he just can't help himself.Exactly two weeks after he was defaulted from the US Open , and a day after"
FAKE,"A message going viral on WhatsApp claims that ""security agents"" are monitoring people's phone, and provides a set of unrelated call forwarding and call diverting service codes as a measure to secure p"
REAL,Read Also  The latest episode of Roadies Revolution continues from the previous Hadippa task. The tasks are divided Into 4 parts in which contestants from each team will have to win every task which i
FAKE,New products The first part of the plan is to build new products to curb the spread of fake news stories. Facebook says it’s trying “to make it easier to report a false news story” and find signs of f
FAKE,"Malayalam news organisation Mathrubhumi published a story on unverified information claiming 40 victims rescued from the Air India Express flight crash tested COVID-19 positive. Speaking to BOOM, K Go"
FAKE,"Two imposter Twitter accounts of Nobel laureate Abhijit Banerjee have recently been suspended by Twitter, after posting several tweets as Banerjee on the social media platform.  In an email conversati"
FAKE,"A viral WhatsApp forward claiming the Bharatiya Janata Party (BJP) lost 36 seats with a margin of less than 2,000 votes in the recently concluded Delhi assembly elections is false and not backed by of"
REAL,SACH is LIFE | ft. Sachin TENDULKAR & Aakash CHOPRA | SPECIAL Interview | Part 1  1 / 10 IPL 2020 Match 1: Mumbai Indians vs Chennai Super Kings Previous Next Show Captions <p>Mumbai Indians and Chenn
FAKE,"A screen grab of a fabricated news bulletin with a quote of Franco Mulakkal, the bishop accused of raping a nun, is viral on Facebook.  The photograph features an image of Mulakkal, who is the Bishop "
FAKE,"Deoria: Miscreants tied youth to a tree & thrashed him after he asked them for the money lent by him. Video of the incident went viral, Police took cognizance & arrested one accused, say, 'Main accuse"
REAL,"CHANDIGARH: Farmers on Sunday blocked roads in Haryana and burnt effigies of Prime Minister Narendra Modi in neighbouring Punjab, protesting against the farm bills passed in Parliament.Two MLAs from t"
REAL,"NEW DELHI: Seven of the top 10 most valued domestic companies saw a combined erosion of Rs 59,259.58 crore in their market valuation last week , with Hindustan Unilever , HDFC Bank and Kotak Mahindra "
FAKE,"A 2019 video showing police in Azerbaijan's capital roughing up civilians has gone viral claiming the clip shows police in Spain enforcing a lockdown due to the Coronavirus, with brute force.  A capti"
FAKE,Several mainstream media outlets over the weekend published a fake list of 'star campaigners' purported to be from the Congress for the upcoming elections in Karnataka in May.  While it is not clear w
REAL,"MUMBAI: For the fifth day in a row, the state on Saturday reported over 20,000 Covid cases (21,907) and over 400 deaths (425), taking the caseload to 11.9 lakh and the toll to 32,216 so far. Mumbai, t"
FAKE,"Vasundhara Raje, CM, Rajasthan  A tweet by Rajasthan Chief Minister Vasundhara Raje over the death of a man allegedly lynched by civic officials has generated a new controversy with several fake Twitt"
FAKE,"A viral video claiming to show Fox News reported that US President Donald Trump tested positive for COVID-19, is doctored as the ticker and audio of the clip have been manipulated.    In the 11 second"
REAL,Highest IPL score in Dubai  Milestones to watch out for:  Preview  Leaving things to chance is not what #CaptainPunjab does... he creates chances! 💪🏻#SaddaPunjab #Dream11IPL… https://t.co/2hJH7DXcWb —
REAL,"NEW DELHI: Hong Kong has again asked Air India not to operate flights there for two weeks starting Sunday (September 20). Like the first suspension last month , this time also the reason is significan"
FAKE,A photograph of former Prime Minister Indira Gandhi addressing Indian Armed Forces personnel in Leh is being shared on social media falsely claiming that picture was clicked at Galwan Valley in Ladakh
FAKE,"A spokesperson for the Reserve Bank of India has rubbished a viral poster that urges people to withdraw money from their accounts before April 1, 2020, claiming banks will demand an NPR document and b"
FAKE,An old video of a man teaching his wife to swim in their flooded home is being shared online as an incident from Delhi after heavy rains gripped the capital and led to water-logging in several areas t
FAKE,"A video of Harish Mishra, an Uttar Pradesh Congress leader speaking sarcastically about the prime minister, home minister and the recent violence at Jawaharlal Nehru University, is being falsely share"
FAKE,A message claiming that the Indian government has issued a warning about thieves who loot homes pretending to be census officials and collect data for the Ayushman Bharat scheme is fake.  BOOM contact
FAKE,"An image of Brazilian President Jair Bolsonaro breaking down at a Thanksgiving service in Brasilia has resurfaced with claims misidentifying him as the heads of state of Italy, which has overtaken Chi"
FAKE,An eight-year-old video of what appears to be a Syrian military helicopter being downed by rebels over the war-ravaged country has been shared on social media falsely claiming it to be an Indian Air F
FAKE,Connect the dots!! #coronavirus did not start from seafood market! (So likely a biowarfare lab). US and Chinese defense (Wuhan Institute) did reasearch on bats in Nagaland - possibly to develop antido
FAKE,Did a worker adulterate Cadbury products with HIV infected blood? An old hoax targets Cadbury.  Watch episode-22 of Fact Vs Fiction where Jency Jacob and Suyash Barve discuss how BOOM debunked this vi
FAKE,"Gurdaspur: Punjab Cabinet Minister Navjot Singh Sidhu during his visit to Darta Babak Nanak where he paid obeisance at Gurdwara Kartarpur Sahib through binoculars at Indo-Pak Border, in Punjab's Gurda"
